instnm,pct_airea_completions
South Central Louisiana Technical College,0.9014483424525266
State Technical College of Missouri,0.7531138241460107
City Colleges of Chicago-Olive-Harvey College,0.671384760556735
Northwest Louisiana Technical Community College,0.6495125821809115
Fletcher Technical Community College,0.6419399077421769
Highlands College of Montana Tech,0.6349480968858131
Mitchell Technical College,0.6140133312664704
J F Ingram State Technical College,0.612223206377325
SOWELA Technical Community College,0.6017787318868358
Northwest Kansas Technical College,0.5923482849604221
Capital Area Technical College,0.5727723618949889
Enterprise State Community College,0.5595147839272177
Vermilion Community College,0.551829268292683
Washington County Community College,0.5457552370452039
Central Louisiana Technical Community College,0.525389541626746
North Dakota State College of Science,0.5011704119850187
Mesalands Community College,0.4976704786107582
Lake Area Technical College,0.49371100326829753
Wichita State University-Campus of Applied Sciences and Technology,0.4921447059531692
Brazosport College,0.48868577513532696
River Parishes Community College,0.4732558139534884
Lee College,0.46433378196500674
Bates Technical College,0.4523543495610534
Northwest Iowa Community College,0.4518781536161465
Wabash Valley College,0.45141749454809793
Grays Harbor College,0.43820335636722607
Hennepin Technical College,0.4277642028100183
Northshore Technical Community College,0.4265195040822498
Ashland Community and Technical College,0.4250393460933138
Kishwaukee College,0.41964689904934355
Olympic College,0.4183353895795767
Rend Lake College,0.413556694884941
Los Angeles Trade Technical College,0.40901015806495694
Central Community College,0.40829223181257707
Louisiana Delta Community College,0.40553913378743095
Bellingham Technical College,0.4046811102410163
Mountwest Community and Technical College,0.4027638470968461
South Seattle College,0.40257225833218085
Bismarck State College,0.40118563911276894
Illinois Valley Community College,0.40055960533097706
Pamlico Community College,0.3949206349206349
North Central Kansas Technical College,0.39436872309899573
Elizabethtown Community and Technical College,0.3933087280431959
Alpena Community College,0.3905314371257485
Moraine Valley Community College,0.3852400937482967
Big Sandy Community and Technical College,0.38484954923311093
Oconee Fall Line Technical College,0.3761250123627733
South Georgia Technical College,0.37138426671437946
Asnuntuck Community College,0.3674373795761079
Columbus Technical College,0.3659965971390762
Maysville Community and Technical College,0.3642917098701427
Eastern Wyoming College,0.3597453130527061
Owensboro Community and Technical College,0.35913788287868914
Northern Maine Community College,0.3572220169929811
Manhattan Area Technical College,0.3546712802768166
Gadsden State Community College,0.3543922984356198
Savannah Technical College,0.3500971720937612
Great Basin College,0.3464131756383332
Mesabi Range College,0.34567901234567905
Waubonsee Community College,0.3446194675113432
Halifax Community College,0.34321032539538265
Reedley College,0.34230567990233124
City Colleges of Chicago-Richard J Daley College,0.3406637080214612
Western Texas College,0.34010810810810815
North Georgia Technical College,0.33955917500221294
Southcentral Kentucky Community and Technical College,0.3363954321351818
Coastal Pines Technical College,0.33626145272504016
Walla Walla Community College,0.3350737689212493
Honolulu Community College,0.3333333333333333
Northeast Community College,0.3327286220829554
Flint Hills Technical College,0.3321671525753158
Southeast Community College Area,0.33199961893874436
Gateway Community and Technical College,0.3292723552086803
Bishop State Community College,0.329085562246184
John Wood Community College,0.32860418458010887
Northland Pioneer College,0.325347127688538
H Councill Trenholm State Community College,0.32358964811022156
Georgia Piedmont Technical College,0.32327427580043105
Haywood Community College,0.32321280706596744
Nunez Community College,0.31927867151011935
City Colleges of Chicago-Harold Washington College,0.31757462283512766
Reid State Technical College,0.31609712230215825
Frank Phillips College,0.314957264957265
Dakota County Technical College,0.3137543252595156
Lewis and Clark Community College,0.31078921593896597
Southeastern Illinois College,0.30945347119645494
J. F. Drake State Community and Technical College,0.3076317859952793
Alabama Southern Community College,0.30597992143168923
Western Dakota Technical College,0.3014067025237898
St Philip's College,0.3010833372414763
Eastern New Mexico University-Roswell Campus,0.30054328979308753
White Mountains Community College,0.2998901501281582
Augusta Technical College,0.29970968853023666
San Juan College,0.2990858092665697
Northeastern Junior College,0.2976583372622976
West Georgia Technical College,0.2971332455755449
Southwestern Illinois College,0.294345605073102
Albany Technical College,0.29388316636094264
Bevill State Community College,0.29132629646626895
Rock Valley College,0.29052156700271603
Terra State Community College,0.29029638652050344
Northeastern Technical College,0.2893222506393862
Jefferson Davis Community College,0.289198606271777
Lawson State Community College,0.28813559322033905
Fox Valley Technical College,0.2879071084678561
Northern Wyoming Community College District,0.2872711882340493
Edmonds College,0.2868390417253845
Bluegrass Community and Technical College,0.2853731063710225
West Kentucky Community and Technical College,0.2853213619550441
Atlanta Technical College,0.284748678874278
Anoka Technical College,0.2844249613202682
Salina Area Technical College,0.28400770712909446
Richland Community College,0.28385653938540545
Mayland Community College,0.28385416666666674
Eastern Maine Community College,0.2837646224742999
Eastern Arizona College,0.282957995951417
Cossatot Community College of the University of Arkansas,0.28291358769416375
Solano Community College,0.2828173520278536
Arkansas State University-Newport,0.28233547748639287
Lincoln Land Community College,0.28206031256878716
San Jacinto Community College,0.28132118451025057
Somerset Community College,0.280696232413207
Spokane Community College,0.28016350929629463
Wayne Community College,0.27833188782885226
Danville Community College,0.27688620258441016
Elgin Community College,0.27637685392529127
Kankakee Community College,0.2760583067092652
Sauk Valley Community College,0.27531857813547955
Hazard Community and Technical College,0.2738027814486187
Fort Scott Community College,0.27332843497428355
Treasure Valley Community College,0.272140221402214
Hawkeye Community College,0.2719292861088945
Helena College University of Montana,0.2715974537738709
South Louisiana Community College,0.27106675454288676
Wiregrass Georgia Technical College,0.27101200686106347
McHenry County College,0.27092658332047126
Del Mar College,0.27077319358706753
Contra Costa College,0.2705301284162002
Central Georgia Technical College,0.2697371858508804
St Cloud Technical and Community College,0.2690980445226335
Clarendon College,0.2685350318471338
Moraine Park Technical College,0.2656874193350132
Parkland College,0.26567440846145457
George C Wallace State Community College-Selma,0.2654310491413025
Central Lakes College-Brainerd,0.2647328498791365
Centralia College,0.26445176805914317
Eastfield College,0.26298722355535376
Shelton State Community College,0.26279452054794517
Athens Technical College,0.26264856485178745
Peninsula College,0.2625551979642243
Trinidad State College,0.2623807360290777
Georgia Northwestern Technical College,0.2614586709886548
Chattahoochee Technical College,0.26059251903343267
Victor Valley College,0.26048290084206904
Northland Community and Technical College,0.2594454819709812
Lake Land College,0.2580880635365569
Cuyamaca College,0.25757121439280356
Cosumnes River College,0.2575635103926097
Mississippi Gulf Coast Community College,0.25755229400208024
East Mississippi Community College,0.2572133353266557
Jefferson Community and Technical College,0.25652556689747064
Piedmont Technical College,0.255482537104039
Texarkana College,0.25500943480995597
Arkansas State University Mid-South,0.2549317147192716
Black Hawk College,0.25354803493449785
Coastal Bend College,0.25286733495890906
Copiah-Lincoln Community College,0.25256865309172427
Truckee Meadows Community College,0.2525073291158772
College of Western Idaho,0.2524642617536254
South Central College,0.25097723614624046
Johnston Community College,0.2506884944920441
Mississippi Delta Community College,0.2505319903532416
Tidewater Community College,0.2503656508585282
University of Arkansas Community College-Morrilton,0.24995522120723623
Hinds Community College,0.24905963302752293
Crowder College,0.2486003175399014
Florence-Darlington Technical College,0.24849660523763337
Napa Valley College,0.24846491228070175
Ridgewater College,0.24804291098869236
Western Wyoming Community College,0.24686716791979949
Northwest Shoals Community College,0.2453392990305742
Greenville Technical College,0.24474004807217417
Lake Washington Institute of Technology,0.24368678411146089
City Colleges of Chicago-Kennedy-King College,0.24320827943078913
Alexandria Technical & Community College,0.24302676215604976
Lamar State College-Port Arthur,0.24133949191685913
Lanier Technical College,0.24105327368849128
Chippewa Valley Technical College,0.240321193002581
Roanoke-Chowan Community College,0.24000000000000005
Southern Regional Technical College,0.23820716485654075
Iowa Lakes Community College,0.23803827751196177
Southeast Kentucky Community & Technical College,0.23802840158520475
Big Bend Community College,0.2373128119800333
Northeast Iowa Community College,0.23700448765893797
College of the Mainland,0.23609461064909815
Spartanburg Community College,0.23535728231159703
BridgeValley Community & Technical College,0.23517931202732376
Orangeburg Calhoun Technical College,0.23500142166619276
Southeastern Technical College,0.2347956666309128
Kennebec Valley Community College,0.23434004474272932
Robeson Community College,0.23433510115890785
Laney College,0.2342696149577393
San Diego Miramar College,0.23299741465731025
New River Community and Technical College,0.23249153866180683
Wilkes Community College,0.23223389865778793
Trinity Valley Community College,0.23146008403361343
Davidson-Davie Community College,0.23045386303268275
Sierra College,0.23020031481122105
Southern Crescent Technical College,0.22954780807732136
Triton College,0.22800531453988795
Minnesota North College,0.22724917976169917
San Diego City College,0.22666879251700683
York Technical College,0.22603859993457637
Southeast Technical College,0.22590912707885732
Jones County Junior College,0.22534768107733935
Eastern West Virginia Community and Technical College,0.2251201098146877
College of the Redwoods,0.2250618301731245
Denmark Technical College,0.2248433468485072
Northwest State Community College,0.22422634836427935
Green River College,0.22413698177613828
Hawaii Community College,0.2240138592750533
Aims Community College,0.22354461737304107
Southwest Wisconsin Technical College,0.2233713615524043
Hudson Valley Community College,0.22227305654047047
Martin Community College,0.22211981566820277
Northwest College,0.22189638318670576
Shawnee Community College,0.22159650851752785
Mt San Jacinto Community College District,0.22152095510508643
Isothermal Community College,0.22064276885043263
Renton Technical College,0.22021633718761657
Virginia Western Community College,0.21990872789503707
Western Nevada College,0.2198911429985156
Los Medanos College,0.21918125048184411
Lakeshore Technical College,0.21891446076506169
Wharton County Junior College,0.2179719703215169
Stark State College,0.21779945699691683
Lurleen B Wallace Community College,0.2173836077181802
Paris Junior College,0.21731004241247937
Lakes Region Community College,0.21639079531691563
Spoon River College,0.21618037135278512
Clatsop Community College,0.21615523465703973
Northcentral Technical College,0.2139303482587065
Casper College,0.2138728323699422
Hocking College,0.21346457824400056
College of Eastern Idaho,0.2132867132867133
Linn-Benton Community College,0.21323529411764705
Minnesota State College Southeast,0.21264121264121263
Palau Community College,0.21254901960784311
Indian Hills Community College,0.2123630375577934
Skyline College,0.21206770579639553
GateWay Community College,0.21187445240426744
Piedmont Community College,0.2115942028985507
Shoreline Community College,0.211441471732552
Waukesha County Technical College,0.210975124817744
Vincennes University,0.2108588351431392
Highland Community College,0.20974804393080185
Central Carolina Community College,0.20966721498165253
Central Alabama Community College,0.2093950808774651
Minnesota West Community and Technical College,0.209383420510382
Alamance Community College,0.2093182858014336
Saint Paul College,0.20931590007004436
Northwood Technical College,0.20870942961398117
Clover Park Technical College,0.20837839376173944
Arkansas State University-Beebe,0.20794355054257763
Belmont College,0.20791583166332664
Santiago Canyon College,0.2067613286856674
Chandler-Gilbert Community College,0.20616203879802203
University of Arkansas Hope-Texarkana,0.2060740354535975
Victoria College,0.20555944872693296
Baton Rouge Community College,0.20460105382009788
Northeast State Community College,0.20342276830491476
Pierpont Community and Technical College,0.2017738359201774
Gwinnett Technical College,0.201563496243728
Seminole State College,0.2014305491462852
Ogeechee Technical College,0.20134269907378627
Yuba College,0.2012607525116554
Morton College,0.20090687129403556
Red Rocks Community College,0.20020513629728984
Antelope Valley Community College District,0.1990509644419794
Salem Community College,0.19855378125941547
South Arkansas College,0.1970538517266361
Technical College of the Lowcountry,0.19626168224299065
Norco College,0.1962566052644575
American River College,0.1962290811144964
Garden City Community College,0.19603610675039249
Coastal Carolina Community College,0.1959884712663961
College of Lake County,0.19564959836978416
Joliet Junior College,0.195642873597262
Mission College,0.1956127199558116
Amarillo College,0.1955716485620344
Northeast Alabama Community College,0.1955093099671413
Riverland Community College,0.19488009713649704
University of New Mexico-Taos Campus,0.19412941961307545
Tri-County Technical College,0.19410876132930513
Central Maine Community College,0.19396086889539363
De Anza College,0.19304983139752716
Northeast Wisconsin Technical College,0.19301422271545807
Seward County Community College,0.19248359514814076
Clackamas Community College,0.1919655667144907
Minnesota State Community and Technical College,0.19192795920581537
Eastern Iowa Community College District,0.19135399673735728
San Jose City College,0.1912281911592304
San Bernardino Valley College,0.19106748466257667
Modesto Junior College,0.19098262915337264
Pearl River Community College,0.19029876492099632
George C Wallace Community College-Dothan,0.19010244547257105
Nash Community College,0.19007057678267217
New River Community College,0.18918616366282323
Galveston College,0.18892462592644385
Marshalltown Community College,0.18800510421097408
Taft College,0.1873203207747012
Southwest Mississippi Community College,0.1869775626924769
Nashua Community College,0.1869575998016365
Southern Arkansas University Tech,0.1865832393065955
Kaskaskia College,0.18645264847512041
North Arkansas College,0.1858943862987631
Evergreen Valley College,0.18588984979517523
Richmond Community College,0.18544834446497083
Central Carolina Technical College,0.18510870885460948
Guilford Technical Community College,0.18494110156001276
Carl Sandburg College,0.1843672817085573
Cleveland Community College,0.1825832418587633
Community College of Allegheny County,0.18257837745903965
Western Technical College,0.18194721900956787
Virginia Peninsula Community College,0.18168709444844988
Pine Technical & Community College,0.18143961927424151
Kilgore College,0.18087839491069244
Rockingham Community College,0.1804368471035138
Milwaukee Area Technical College,0.18042771693114465
Cape Fear Community College,0.17977984483528983
Northwest Technical College,0.179750223015165
Lake Tahoe Community College,0.1795738924585729
Panola College,0.17949761008847756
Jackson College,0.17949737553682202
Surry Community College,0.17920380273321448
Ivy Tech Community College,0.17892850556833945
Zane State College,0.17831893165750196
John C Calhoun State Community College,0.17787348337501158
Southern Union State Community College,0.17768688934333104
Phillips Community College of the University of Arkansas,0.17764132966334956
Lamar State College-Orange,0.1774670610379134
Colorado Northwestern Community College,0.17702154230408992
Odessa College,0.17702138428444894
Western Nebraska Community College,0.17686424474187382
Blackhawk Technical College,0.17533252720677145
The College of the Florida Keys,0.17521613832853025
Gogebic Community College,0.17502395400830406
John A Logan College,0.17491856677524428
Blue Ridge Community College,0.174628161980241
Owens Community College,0.17436780087382495
Cedar Valley College,0.17422048049071392
Pitt Community College,0.1740739200931277
Compton College,0.17391870766023967
Front Range Community College,0.1737867772236576
Dodge City Community College,0.17308217308217305
Angelina College,0.17276298559580971
Arkansas State University Three Rivers,0.17243235967155743
Pratt Community College,0.17234664070107106
Rowan-Cabarrus Community College,0.17185101811112247
Arkansas Northeastern College,0.1718350966800438
Cincinnati State Technical and Community College,0.17170810095472164
Cochise County Community College District,0.17164663851899967
Sacramento City College,0.17083233059442365
Cowley County Community College,0.1707260226080876
Hill College,0.1703581267217631
College of Marin,0.1702407825432656
Laramie County Community College,0.1685381891755185
Cypress College,0.16843047606867667
Naugatuck Valley Community College,0.16834510747031414
Mid-State Technical College,0.16831083419868464
Washington State Community College,0.16823425022182784
Mohawk Valley Community College,0.16820789740128247
City Colleges of Chicago-Harry S Truman College,0.1673033445076791
Southern Maine Community College,0.16727338915180195
Kirtland Community College,0.16683477910026226
Flathead Valley Community College,0.16633974107493132
Pasadena City College,0.16613124594663894
Mountain Gateway Community College,0.16571915861284822
Virginia Highlands Community College,0.1655595298926929
City Colleges of Chicago-Wilbur Wright College,0.16555420219244824
El Camino Community College District,0.16549860290412716
Lake Michigan College,0.16544893651566814
Porterville College,0.1653012048192771
Williamsburg Technical College,0.1647727272727273
Springfield Technical Community College,0.16455411385284632
Everett Community College,0.16350496838301715
Woodland Community College,0.16336930455635487
Allan Hancock College,0.16303106969855916
Columbia College,0.16298131910026686
Randolph Community College,0.16255394489321678
Western Iowa Tech Community College,0.16246283686582907
College of Alameda,0.1624118024374599
Metropolitan Community College Area,0.16218872870249015
University of New Mexico-Los Alamos Campus,0.16198704103671707
Shasta College,0.1610742496050553
San Joaquin Delta College,0.161051945229298
Sampson Community College,0.1610273134936812
San Diego Mesa College,0.1595890999742113
College of Southern Idaho,0.1594900481332119
Los Angeles Pierce College,0.15919487648673372
Holmes Community College,0.1587779450298266
Feather River Community College District,0.15873798373182155
Lincoln Trail College,0.15862301721228483
Alvin Community College,0.15809596635442555
Kauai Community College,0.15802545793231915
Lake Superior College,0.15800966055713625
Prairie State College,0.15714914210294764
Beaufort County Community College,0.156843321776457
Palomar College,0.1567453719099878
Southwest Texas Junior College,0.15653896961690883
Great Falls College Montana State University,0.15627390971690894
Central Arizona College,0.15622435020519837
Gaston College,0.15518285299103898
Quinebaug Valley Community College,0.15516721904188008
Heartland Community College,0.15489559936777306
Central Oregon Community College,0.15486246480398527
Imperial Valley College,0.15443117783819993
Southeastern Community College,0.15408495494813357
Santa Barbara City College,0.15319105062377564
Skagit Valley College,0.1525562932037506
Southwestern Community College,0.15253966988278445
Dawson Community College,0.15242881072026798
Asheville-Buncombe Technical Community College,0.15222297449785602
Itawamba Community College,0.1519179642992784
Midlands Technical College,0.15181464679196371
Northeast Mississippi Community College,0.1513422109490594
Hopkinsville Community College,0.1513167061446287
South Puget Sound Community College,0.1509711114738045
Danville Area Community College,0.15092329545454547
Midland College,0.1506818937797982
Mid-Plains Community College,0.15025186729199236
South Texas College,0.1498839570641137
South Plains College,0.14963383976390862
Des Moines Area Community College,0.1495887323943662
Chabot College,0.14915850288872146
Barstow Community College,0.14741244119184527
College of Southern Nevada,0.14704615672689822
Riverside City College,0.14674549049675154
Iowa Central Community College,0.14542131714640036
Cerritos College,0.1445222890445781
Bladen Community College,0.14415011037527595
Three Rivers Community College,0.1437335670464505
Folsom Lake College,0.1435598567074801
Rogue Community College,0.1432377876463464
State Fair Community College,0.14307581487484242
Coahoma Community College,0.14237012987012987
Clovis Community College,0.1422977253095307
George C Wallace State Community College-Hanceville,0.14205647768915716
Ventura College,0.14177105390718675
Hagerstown Community College,0.14170649672508406
College of the Sequoias,0.14169114001296768
Miles Community College,0.14147176269252712
Bakersfield College,0.14062257714374318
South Suburban College,0.14061254696572922
River Valley Community College,0.14019272614236863
Macomb Community College,0.1401844720201588
City College of San Francisco,0.1401326897010915
Crafton Hills College,0.1400425230333097
Manchester Community College,0.139947875628826
East Arkansas Community College,0.13981300282670148
